,photo_id,density_10m,density_100m,density_500m
0,3219131575,38,366,18125
1,3219132215,38,366,18125
2,3219983252,38,366,18125
3,3219984214,38,366,18125
4,3219984922,38,366,18125
5,3219985930,38,366,18125
6,3219986706,38,366,18125
7,3219987738,38,366,18125
8,3219988994,38,366,18125
9,3219989970,38,366,18125
10,3219991684,38,366,18125
11,3219142511,38,366,18125
12,3219993414,38,366,18125
13,3219995080,39,926,8217
14,3219145849,39,926,8217
15,3219996494,39,926,8217
16,3219997170,39,926,8217
17,3220006226,7,77,6425
18,3219161359,7,77,6425
19,3220013742,7,77,6425
20,3220020932,7,77,6425
21,3220024910,7,77,6425
22,3220025614,7,77,6425
23,3219177931,7,77,6425
24,3220044670,29,794,12429
25,3220045476,29,794,12429
26,3219195949,107,11522,32484
27,3219196745,107,11522,32484
28,3220047630,107,11522,32484
29,3219198207,107,11522,32484
30,3219198949,107,11522,32484
31,3220049882,107,11522,32484
32,3219200223,107,11522,32484
33,3219200953,107,11522,32484
34,3220052100,107,11522,32484
35,3220052842,107,11522,32484
36,3220053616,107,11522,32484
37,3220054426,107,11522,32484
38,3219204653,107,11522,32484
39,3219205613,107,11522,32484
40,3219206457,107,11522,32484
41,3219207943,107,11522,32484
42,3220058868,107,11522,32484
43,3219209733,107,11522,32484
44,3219210601,107,11522,32484
45,3220061958,107,11522,32484
46,3219213441,107,11522,32484
47,3219214995,107,11522,32484
48,3219216293,10,1877,30742
49,3219217221,10,1877,30742
50,3220068742,10,1877,30742
51,3219219349,10,1877,30742
52,3220070710,10,1877,30742
53,3219221389,10,1877,30742
54,3220072250,107,11522,32484
55,3220072850,107,11522,32484
56,3219493511,3,1729,28887
57,3219872023,31,519,856
58,3221895666,13,156,1404
59,3221897070,13,156,1404
60,3221908730,13,156,1404
61,3221591303,22,79,112
62,3222447992,22,79,112
63,3222449918,22,79,112
64,3221607401,22,79,112
65,3222461888,22,79,112
66,3222467070,22,79,112
67,3222476282,22,79,112
68,3222481684,22,79,112
69,3222482764,22,79,112
70,3222483954,22,79,112
71,3221635509,22,79,112
72,3222490146,22,79,112
73,3221644339,22,79,112
74,3222497166,22,79,112
75,3222499252,22,79,112
76,3222500372,22,79,112
77,3221680075,25,2486,24132
78,3222560250,1,9,50
79,3222648594,32,508,857
80,3223038757,3,62,192
81,3223057857,413,5070,25010
82,3223060081,10,1852,24118
83,3223920794,777,7818,21453
84,3224281294,1,3,1312
85,3224576135,1,55,850
86,3226279968,4,67,131
87,3226657308,28,12109,32237
88,3226658440,1,981,26509
89,3225806049,1,158,21755
90,3226661984,6,1338,38088
91,3226688004,18,1714,24582
92,3226796388,9,10,11
93,3226067505,9,10,11
94,3227014024,9,10,11
95,3228111362,1,1,5
96,3228113052,4,4,5
97,3227526485,9,10,11
98,3227537615,9,10,11
99,3228747588,1292,11622,31250
100,3229241412,2,51,920
101,3229654588,188,1765,25217
102,3229748940,1,6,9
103,3228907227,1,6,9
104,3229766810,1,9,9
105,3229779758,2,23,40
106,3230285500,13,156,1404
107,3230287038,13,156,1404
108,3229528413,13,156,1404
109,3229530077,13,156,1404
110,3229922493,662,5005,24503
111,3231133082,1,4,20
112,3231225644,174,4663,24828
113,3231489528,1,137,1207
114,3232010480,1,1,3
115,3231362057,2,60,948
116,3232212584,155,1167,10558
117,3232212734,6,87,584
118,3231362967,1,14,150
119,3231363701,5,83,2739
120,3232214210,1,28,2901
121,3231364091,5,83,2739
122,3232214760,1,322,6153
123,3231364795,5,83,2739
124,3231365225,2,286,14559
125,3232216344,4,873,4236
126,3232216638,2,852,28160
127,3231366855,7,13,738
128,3232217340,2,670,19411
129,3232218070,7,13,738
130,3231367983,3,3,22
131,3231368277,7,13,738
132,3231368411,7,13,738
133,3232218952,7,13,738
134,3232220622,7,13,738
135,3231370647,3,3,22
136,3232221232,3,3,22
137,3231372939,1,2,76
138,3231373337,6,87,584
139,3231373603,7,13,738
140,3232223902,1,2,33
141,3232225202,3,5,48
142,3231375935,3,10,142
143,3231485187,18,1714,24582
144,3231485993,17,1893,18473
145,3232336194,18,1112,10433
146,3232403400,1,23,40
147,3231561775,1,26,40
148,3231564963,2,23,40
149,3231897199,9,10,11
150,3232759890,1,8,149
151,3231941157,81,7556,21549
152,3232816650,9,10,11
153,3232839312,5,242,1211
154,3235867798,13,264,6835
155,3235436251,1,76,1114
156,3236282750,1,11,1064
157,3235437689,11,217,1407
158,3236288822,2,2,15
159,3235974621,1,6,754
160,3235974633,64,954,2985
161,3235974629,143,4771,24819
162,3237317894,53,762,11667
163,3237564852,3,5,48
164,3236728691,1,44,48
165,3237574086,1,4,48
166,3237579340,3,5,48
167,3237589500,3,5,48
168,3237933922,1,2,482
169,3237416905,1,44,1612
170,3237489121,8,1716,10893
171,3238338850,18,1714,24582
172,3237539563,6,1338,38088
173,3237599499,11,217,1407
174,3238636934,2,2,15
175,3238958754,24,500,28091
176,3239407454,31,599,6491
177,3240018705,152,4380,24758
178,3240911518,1,1,20
179,3240618451,48,2024,11212
180,3241561544,7,11,243
181,3240736397,7,11,243
182,3240750911,7,11,243
183,3241588320,7,11,243
184,3241596880,7,11,243
185,3241613080,7,11,243
186,3241614824,7,11,243
187,3242023978,9,10,11
188,3241220009,9,10,11
189,3242294704,11,2458,35121
190,3242300172,445,12073,31394
191,3241467001,42,3921,29703
192,3242445966,6,764,12760
193,3242534954,1,1,2
194,3241998435,2,2849,10178
195,3242831168,2,2849,10178
196,3241999371,1,47,778
197,3242679583,32,40,925
198,3243512014,32,40,925
199,3242679659,32,40,925
200,3243512144,32,40,925
201,3242679763,32,40,925
202,3242679815,32,40,925
203,3242679879,32,40,925
204,3242679967,32,40,925
205,3242680027,32,40,925
206,3242680083,32,40,925
207,3243512608,32,40,925
208,3243512736,32,40,925
209,3242680303,32,40,925
210,3242680351,32,40,925
211,3242680389,32,40,925
212,3243512914,32,40,925
213,3242680535,32,40,925
214,3243513054,32,40,925
215,3242680665,32,40,925
216,3242680711,32,40,925
217,3242680745,32,40,925
218,3243513330,32,40,925
219,3242681039,32,40,925
220,3242681071,32,40,925
221,3243513544,32,40,925
222,3243513586,32,40,925
223,3243513638,32,40,925
224,3243513678,32,40,925
225,3243513768,32,40,925
226,3242681311,32,40,925
227,3242681353,32,40,925
228,3243513936,32,40,925
229,3244065624,1,304,23898
230,3243238323,1,73,6841
231,3244158976,2,89,931
232,3244159456,2,89,931
233,3243535029,3,256,2263
234,3243535439,3,256,2263
235,3244364702,1,236,2580
236,3243536309,3,629,16031
237,3243536663,3,629,16031
238,3243537249,20,736,17482
239,3243537585,7,518,22003
240,3243538093,3,751,23479
241,3243538541,3,751,23479
242,3243538873,23,1375,24267
243,3243539391,14,980,26686
244,3243539757,25,2358,23090
245,3244369224,86,4676,24800
246,3243540751,86,4676,24800
247,3244370236,86,4676,24800
248,3243541829,86,5056,25063
249,3243542215,86,5056,25063
250,3243543231,86,5056,25063
251,3243543631,265,5333,25524
252,3243544063,32,990,38062
253,3244373490,4,3346,29363
254,3244374142,7,4656,29516
255,3243545761,7,4656,29516
256,3244375372,72,9119,31119
257,3243546755,72,9119,31119
258,3243547511,72,9119,31119
259,3243547923,27,6164,29787
260,3243549253,1,601,27909
261,3244378636,6,425,27745
262,3244379084,357,11294,30206
263,3243551079,3,830,7403
264,3243551427,12,878,8102
265,3243551801,19,859,7960
266,3243552481,2,296,5665
267,3244382198,2,395,5870
268,3243553635,3,45,7176
269,3243553967,4,763,20007
270,3243554505,4,1067,27058
271,3244384568,5,1270,20661
272,3244384924,5,706,24068
273,3244063925,1,1,121
274,3244340293,146,7543,21035
275,3245270794,767,10423,31010
276,3245627490,1,17,721
277,3245628958,2,49,196
278,3244800699,2,49,196
279,3245629850,1,1,12
280,3245630742,6,97,7268
281,3245631438,6,97,7268
282,3245632348,6,97,7268
283,3245634978,6,97,7268
284,3244807449,6,97,7268
285,3244808219,6,97,7268
286,3247155270,44,86,4321
287,3247157010,44,86,4321
288,3246331235,44,86,4321
289,3246334925,44,86,4321
290,3247165554,44,86,4321
291,3247167052,44,86,4321
292,3246349365,44,86,4321
293,3247184266,44,86,4321
294,3247186050,44,86,4321
295,3247187790,44,86,4321
296,3247372373,1,1,3
297,3247374743,405,11784,30225
298,3248420068,1,166,550
299,3248420956,1,70,300
300,3247596095,1,42,1118
301,3248423276,1,1,2
302,3247956789,20,1044,22979
303,3249047218,40,2763,24332
304,3248222709,42,3921,29703
305,3249052210,724,11647,31949
306,3248227231,724,11647,31949
307,3248230325,7,763,28517
308,3249380775,1,1,20
309,3250484982,1,1,24
310,3250196699,1,1,1
311,3250289099,3,380,7809
312,3251317020,2,2,4
313,3250504005,73,508,1647
314,3250504301,73,508,1647
315,3251332208,73,508,1647
316,3251332916,73,508,1647
317,3251333550,73,508,1647
318,3250506945,73,508,1647
319,3251335022,73,508,1647
320,3250507929,73,508,1647
321,3251335774,35,112,1401
322,3250508781,35,112,1401
323,3251336560,35,112,1401
324,3251336848,8,74,1565
325,3251337330,96,128,1505
326,3251338064,8,74,1565
327,3251338608,2,89,1458
328,3250512263,96,128,1505
329,3250512751,11,26,964
330,3250512965,11,26,964
331,3251340736,11,26,964
332,3250513505,11,26,964
333,3251341914,96,128,1505
334,3250514863,19,75,1579
335,3250515293,19,75,1579
336,3250515587,8,11,86
337,3250516003,6,69,1571
338,3250516631,6,69,1571
339,3251344320,4,76,1604
340,3250517591,2,69,1573
341,3251345348,1,30,1544
342,3251345674,1,194,1433
343,3251346258,96,128,1505
344,3250519391,60,500,1646
345,3250519941,96,128,1505
346,3250521485,96,128,1505
347,3251350430,96,128,1505
348,3250522965,96,128,1505
349,3250523721,96,128,1505
350,3251352484,43,81,99
351,3250525257,2,89,1458
352,3250525963,16,27,76
353,3250526705,16,27,76
354,3250527397,96,128,1505
355,3250528151,7,13,578
356,3250529153,7,13,578
357,3251357502,7,13,578
358,3250530477,7,13,578
359,3250531133,7,13,578
360,3251359634,7,13,578
361,3250533073,7,13,578
362,3250534471,10,193,1390
363,3251362716,10,193,1390
364,3250535521,10,193,1390
365,3251363816,10,193,1390
366,3251364106,10,193,1390
367,3251364610,96,128,1505
368,3250537487,25,76,99
369,3250540085,25,76,99
370,3250540781,25,76,99
371,3250541613,47,502,1649
372,3251369320,47,502,1649
373,3250542415,47,502,1649
374,3250543145,47,502,1649
375,3250543731,47,502,1649
376,3250544303,35,112,1401
377,3250544879,96,128,1505
378,3250545569,1,49,871
379,3250546117,4,30,802
380,3251374346,7,25,569
381,3250547369,96,128,1505
382,3251375552,2,73,1410
383,3250548641,2,73,1410
384,3251376868,3,89,1477
385,3251377428,3,89,1477
386,3250550473,3,89,1477
387,3250551103,25,76,99
388,3251378850,25,76,99
389,3251527780,1,1,62
390,3250700997,11,26,982
391,3251529178,11,26,982
392,3251529936,96,128,1505
393,3251530642,96,128,1505
394,3251531552,2,2,13
395,3251532310,2,2,13
396,3250705537,35,112,1401
397,3251533832,1,11,84
398,3250711699,5,18,970
399,3250712455,5,18,970
400,3251541486,96,128,1505
401,3251542082,3,67,581
402,3251542548,3,67,581
403,3251543310,3,67,581
404,3251544006,19,57,405
405,3250717605,4,5,228
406,3251545664,4,5,228
407,3250718789,4,5,228
408,3251546990,4,9,227
409,3251547678,2,3,489
410,3250720817,2,3,489
411,3250732871,1,16,469
412,3251598692,1,19,590
413,3251826286,1,4,1046
414,3251096239,258,2638,10076
415,3253113252,168,3855,24958
416,3253124086,1,248,3682
417,3252305715,2,373,722
418,3253140000,253,2109,8788
419,3252492503,2,520,21028
420,3252778527,931,2549,8652
421,3254162418,1,1,1
422,3253341479,1,1,4
423,3253378429,724,11647,31949
424,3253379127,724,11647,31949
425,3254210156,724,11647,31949
426,3253382357,724,11647,31949
427,3254379284,1,82,1607
428,3254463206,2,35,938
429,3254578166,1,137,1670
430,3254747656,17,1192,8589
431,3253997431,48,2100,8801
432,3255217746,322,11064,30531
433,3255237574,46,804,35004
434,3255368452,10,797,8492
435,3255368456,10,797,8492
436,3254638005,317,10480,30340
437,3255543408,21,168,3889
438,3255543508,21,168,3889
439,3254713359,21,168,3889
440,3255543628,21,168,3889
441,3254713505,21,168,3889
442,3254713693,21,168,3889
443,3254713755,21,168,3889
444,3254713833,21,168,3889
445,3255544044,21,168,3889
446,3255544222,21,168,3889
447,3255246215,104,2540,8649
448,3255443309,1,1,1
449,3255477209,724,11647,31949
450,3256310484,29,1650,30318
451,3256318348,1,164,1433
452,3256417290,2,35,938
453,3255587931,1,1,1
454,3256668802,2,2,4
455,3256751022,1,151,1630
456,3256541149,131,439,18438
457,3257371302,4,690,23842
458,3256542029,6,455,20644
459,3257372078,246,5086,25128
460,3257372278,1,1646,25011
461,3256543225,1,1,6
462,3256543385,30,4660,24935
463,3256543955,5,501,27976
464,3256544503,5,501,27976
465,3257375062,5,501,27976
466,3257375244,4,690,23842
467,3257375430,4,690,23842
468,3257376488,1,38,1161
469,3257376830,76,1185,4266
470,3256550339,246,5086,25128
471,3256550515,1,1465,11277
472,3257749550,1802,2428,10006
473,3257796350,22,866,8275
474,3256972087,91,1072,4345
475,3257801776,2,303,6382
476,3256973603,2,42,368
477,3257804082,2,142,2825
478,3257805424,1,96,2844
479,3256978265,1,109,2334
480,3256978939,1,160,2313
481,3256979551,16,879,2141
482,3256980341,20,674,2879
483,3257809682,20,674,2879
484,3256981507,20,674,2879
485,3257811224,20,674,2879
486,3257811986,20,674,2879
