,photo_id,density_10m,density_100m,density_500m
0,37166880424,11,54,360
1,37169740864,22,663,32593
2,37622634610,23,844,2083
3,37879801481,38,923,2078
4,37169750674,37,589,2173
5,37169749584,33,610,2050
6,37169748054,32,604,2051
7,37849962632,82,794,22365
8,37162173203,426,432,461
9,37882459921,426,432,461
10,37162172783,426,432,461
11,24029813078,426,432,461
12,37882459601,426,432,461
13,37172829954,4,520,23100
14,37164645743,1,1,3
15,37629040410,1,1,1
16,24034717308,2,102,767
17,24036658428,3,11,712
18,37888479671,3,11,712
19,37840322856,3,11,712
20,24036645358,1,6,281
21,37178708304,7,13,567
22,24036636128,7,13,567
23,37841176086,5,823,8328
24,37178097193,2,2,25
25,37640844500,2,2,25
26,37188073244,9,15,173
27,37640841840,9,15,173
28,24045915178,9,15,173
29,37869376842,301,11129,30370
30,37643118710,249,4399,31726
31,37643115480,850,11242,31331
32,37853051596,8,786,7506
33,37853049686,8,786,7506
34,37191737464,35,993,8148
35,37854639216,147,1842,37854
36,37645844490,147,1842,37854
37,24051185468,67,3524,36706
38,37646537160,426,432,461
39,37873067102,426,432,461
40,37873066872,426,432,461
41,37646536880,426,432,461
42,37646536610,426,432,461
43,37875624172,7,13,567
44,37858118196,8,17,525
45,37875618692,8,17,525
46,37906675511,8,17,525
47,37906669331,8,17,525
48,37906665541,8,17,525
49,37197367854,2,8,15
50,37877046532,2,38,888
51,37867137586,138,5802,26957
52,26145396649,4,45,360
53,37890193972,1,40,360
54,37868014926,4,45,360
55,37921005891,2,309,363
56,37921005441,2,309,363
57,37212149724,31,848,2058
58,37212148784,30,756,2057
59,37212146384,16,890,2081
60,24070639278,15,212,3414
61,37212143554,4,14,108
62,37892856222,35,993,8148
63,24073099178,35,993,8148
64,37892855132,35,993,8148
65,37870912276,1,1,1
66,37925080071,1,1,1
67,37875584606,1,1,120
68,37221095054,1,50,188
69,26154806539,1,14,146
70,26154798099,3,9,21
71,37899528292,1,5,80
72,24079360858,2,146,11773
73,37221078054,1,211,12392
74,24079359098,7,1604,15028
75,37931265601,3,215,829
76,26157103159,249,4399,31726
77,37879745126,353,12095,30687
78,37902264532,249,4399,31726
79,37892136226,2,3,4
80,37945995261,14,58,360
81,37236589604,17,57,360
82,37945993601,13,54,360
83,37236586954,2,55,360
84,37916538912,13,981,8306
85,26172067709,9,17,108
86,24096456268,9,17,108
87,26172065249,4,14,108
88,26172063179,1,6,111
89,24096454628,9,17,108
90,37917673232,426,432,461
91,37917673072,426,432,461
92,24097954078,2,2,2
93,37918401982,2,2,2
94,26173536959,1,1,4
95,37918400582,10,10,29
96,37918399802,10,10,29
97,37239849754,10,10,29
98,26173536199,10,10,29
99,37918399012,10,10,29
100,37239849734,10,10,29
101,37895933226,10,10,29
102,37239850634,10,10,29
103,37949124151,10,10,29
104,37918396982,10,10,29
105,37895930546,1,43,159
106,37918784522,2,7,10
107,37919533302,1,1,1
108,24099204288,6,25,479
109,37952302211,8,17,525
110,37243056144,4,65,391
111,37243051064,4,65,391
112,26176887729,6,112,7893
113,26176885339,4,65,391
114,37962902561,9,9,12
115,37932047132,9,9,12
116,37962900341,9,9,12
117,37932045662,9,9,12
118,37962897921,9,9,12
119,37933706422,2,54,360
120,26188880479,14,58,360
121,37933704872,14,58,360
122,37964452161,14,58,360
123,37254868554,14,58,360
124,26188878539,14,58,360
125,37255401104,1,29,5582
126,26189513799,1,361,7512
127,37934242022,3,4,67
128,37934240042,3,4,67
129,24114049798,2,6,99
130,24114048508,1,7,63
131,37913034866,426,432,461
132,37913034406,426,432,461
133,37941764022,426,432,461
134,37262297244,426,432,461
135,37262297134,426,432,461
136,37262767324,5,25,479
137,37264015414,2,13,28
138,37945769052,4,6,12
139,26200471949,4,6,12
140,37945767972,4,6,12
141,26200469529,4,6,12
142,24125348068,1,40,1550
143,24131484848,1,1,3
144,37929897586,1,40,1710
145,26207202069,1,134,9818
146,26207561389,9,9,12
147,37930265346,9,9,12
148,26207558709,9,9,12
149,37930260876,9,9,12
150,37901984632,3,20,56
151,37936144576,1,1,2
152,37936300826,3,3,73
153,24138532018,2,244,7347
154,37994923031,9,3767,25785
155,37965154922,5,25,480
156,37965749852,426,432,461
157,26220315939,426,432,461
158,37965749342,426,432,461
159,37995950181,7,9,48
160,37965795172,7,9,48
161,37995946681,6,7,8
162,37995941491,6,7,9
163,37995958451,6,7,8
164,37965785392,6,7,8
165,24144652498,6,7,8
166,37286812634,6,7,8
167,24146406168,82,617,1134
168,26230128389,426,432,461
169,26230127149,426,432,461
170,26230127729,426,432,461
171,38006305641,426,432,461
172,37956645926,453,453,487
173,37956650586,453,453,487
174,37956654946,453,453,487
175,26233578139,453,453,487
176,26233580299,453,453,487
177,26233583399,453,453,487
178,26233586429,453,453,487
179,26233591219,453,453,487
180,26233594689,453,453,487
181,37300862334,453,453,487
182,37300864474,453,453,487
183,37300869294,453,453,487
184,37300872274,453,453,487
185,37300876424,453,453,487
186,37300879134,453,453,487
187,37300886034,453,453,487
188,37300891134,453,453,487
189,37300895104,453,453,487
190,37300898034,453,453,487
191,37300900944,453,453,487
192,37300905314,453,453,487
193,37300908424,453,453,487
194,37300911424,453,453,487
195,37303883804,8,251,8667
196,26239607589,8,18,39
197,37962360056,8,18,39
198,24163992328,11,69,166
199,37962357276,11,69,166
200,38015366691,130,10463,32492
201,37962230316,5,1169,38481
202,24163804488,67,3524,36706
203,24166176408,129,793,18427
204,37308862024,129,793,18427
205,24166175978,129,793,18427
206,26242025679,11,1156,24422
207,37964576256,73,2236,19853
208,37964572466,73,2236,19853
209,38017825551,73,2236,19853
210,26242039959,124,2305,19403
211,26242039749,124,2305,19403
212,26242039129,124,2305,19403
213,26242053559,9,216,6285
214,38017855541,2,215,2338
215,38017854691,11,683,2354
216,37964605516,7,273,2157
217,37964604936,1,19,1924
218,24166390768,515,880,2378
219,24166514688,2,223,851
220,37987562492,515,880,2378
221,37309279754,515,880,2378
222,38018225641,38,913,36679
223,37964986746,2,600,2815
224,24168962838,3,3,3
225,24169245678,1801,2428,10043
226,37311900134,2,218,9135
227,37967708286,4,162,9546
228,24169190948,1801,2428,10043
229,24169198738,4,12,39
230,24169922738,1,1,1
231,37994027022,118,626,1133
232,26246320689,24,1542,25786
233,24170684938,69,1730,25221
234,26246316969,21,380,30878
235,37969703886,162,4341,34034
236,26246316069,21,380,30878
237,24171566488,22,1302,38312
238,24171563368,142,994,38011
239,37318765964,138,625,1133
240,37998467572,382,5060,24896
241,37998460592,315,5065,25026
242,37975500496,127,5071,25216
243,26253090899,180,5134,25356
244,37975463236,228,5737,26529
245,38029015511,145,5325,27297
246,38032633441,1,1,1
247,38032632291,1,1,10
248,36341782052,88,278,1520
249,37981836006,2,3,5
250,38004649622,2,3,5
251,26259223269,2,2,36
252,38004646832,2,2,36
253,37327720724,1,1,1
254,26260287079,1,288,362
255,38036251261,2,291,363
256,38036250651,2,289,363
257,38036249741,1,266,366
258,38036249301,1,9,370
259,37983030796,3,10,369
260,37983028616,3,10,369
261,26260282889,3,11,369
262,24184197698,1,10,369
263,38036245901,2,9,9
264,24184196318,2,9,9
265,38036244411,29,625,25424
266,38036242631,7,301,2485
267,24184195118,9,139,2424
268,24184193738,33,235,6048
269,38036240911,28,244,6196
270,24184192158,7,219,3152
271,26260271299,33,919,2084
272,37983016306,18,930,2627
273,38036237751,14,904,2076
274,26260268279,22,860,2053
275,38009545542,13,69,71
276,38010531612,271,5233,25518
277,38011285742,62,1075,37013
278,37987150496,62,1075,37013
279,37331935964,62,1075,37013
280,38010400952,89,4822,34744
281,26265136749,31,6261,34240
282,37336305964,426,432,461
283,24193137958,426,432,461
284,24193137738,426,432,461
285,37896908776,2,2,9
286,38016033652,1,1,390
287,37993598876,85,7509,21247
288,37341065884,31,602,8005
289,38019409362,6,6,10
290,26274318909,6,6,10
291,24198223468,6,6,10
292,26274314219,6,6,10
293,26274309719,6,6,10
294,26274307309,6,6,10
295,37350820284,1,1,4
296,38062989571,11,136,5830
297,38063354131,123,626,1133
298,38063354691,79,617,1134
299,38063354251,138,625,1133
300,38063354401,83,623,1133
301,37362147724,426,432,461
302,26295466099,426,432,461
303,26295465949,426,432,461
304,38083532131,58,1711,24967
305,36463581506,17,869,9727
306,24232593408,3,4,17
307,38032030216,3,4,17
308,38032029116,2,4,49
309,24232592478,3,4,17
310,24232591788,1,3,33
311,38055151892,2,316,5919
312,24233694238,1,471,5321
313,38034295646,1,1,1
314,38087785081,3,219,851
315,38060518082,7,96,522
316,38038473966,7,96,522
317,37382267304,7,96,522
318,38038467556,7,96,522
319,26314896989,8,29,542
320,38038450556,9,28,542
321,38091417141,9,28,542
322,38060481312,9,28,542
323,38091405601,9,28,542
324,38091399131,9,28,542
325,38091394311,9,28,542
326,38091387951,9,28,542
327,38091378911,3,54,523
328,38038405576,3,59,522
329,37382191694,3,55,527
330,38038386086,4,28,543
331,37382176874,4,28,543
332,38038368236,4,28,543
333,24239016818,11,28,543
334,38060394762,2,52,535
335,38060387692,2,52,535
336,38060994862,47,3356,35040
337,38039064976,47,3356,35040
338,26315487029,47,3356,35040
339,38092157691,30,1622,31362
340,38062292602,322,12041,30675
341,38093462741,426,432,461
342,24241161058,426,432,461
343,24256296178,112,621,1132
344,24256296308,81,617,1134
345,24256296378,79,617,1134
346,37404500234,1,59,13271
347,37404497904,2,449,15383
348,37404493244,3,293,15001
349,24261383698,426,432,461
350,26336995299,426,432,461
351,24261383318,426,432,461
352,24261383478,426,432,461
353,38059978736,89,4822,34744
354,38059947146,55,6605,33041
355,37405707134,203,8807,31948
356,38060265876,419,9517,31604
357,38114479051,301,12123,30247
358,37405474544,508,11949,30287
359,37407944334,9,2270,23205
360,26340582629,14,2416,23222
361,38062910216,3,1410,18881
362,38117005521,3,1383,18861
363,38085794222,6,1256,18572
364,38085786092,7,622,16938
365,26340547009,9,507,16512
366,38085737272,3,718,19523
367,38085715022,6,714,18387
368,38116929141,19,766,18523
369,37407809704,29,903,20373
370,24264933928,6,745,19402
371,37407767644,25,1613,22244
372,38062746596,32,1301,22077
373,38062738336,32,1301,22077
374,24264854998,12,1604,22232
375,37407703104,3,1060,22249
376,26340416819,8,626,22042
377,24264830198,6,436,20815
378,38116783321,14,422,20635
379,38062665556,123,5701,27238
380,38116771211,123,5701,27238
381,38116765701,25,561,19596
382,37407635254,50,554,18701
383,38085592272,29,580,19244
384,38116734911,5,122,6213
385,38085574482,12,2260,23536
386,37407603554,19,2630,23800
387,37407588834,21,2683,23819
388,26340319239,13,2695,23894
389,38085543132,17,2606,23777
390,38085528442,1,1013,21884
391,26340272949,8,373,16149
392,38116642611,8,373,16149
393,38085489412,2,325,15549
394,37407472344,8,288,15337
395,38085454202,4,306,15701
396,38061786356,2,276,14419
397,24264618368,2,1077,23426
398,38116553941,5,1492,24360
399,24264589688,13,1018,26205
400,24264571418,15,1208,25822
401,37407364394,16,873,26055
402,26340102559,10,1215,24906
403,38085349502,10,1577,24647
404,38062338966,3,1274,24927
405,24264504728,7,684,25384
406,38062308556,1,428,29338
407,24264490418,12,691,35024
408,37407225284,1,812,24994
409,26339977999,5,807,25251
410,38116334971,8,728,25095
411,26339949869,4,703,36950
412,26339925769,6,535,25329
413,38085139692,5,591,24326
414,37407095404,5,591,24326
415,38062120176,6,577,24357
416,38084294472,8,1236,26667
417,38088941422,2,29,882
418,24268439498,2,4,49
419,24268436508,2,2,45
420,38089053772,2,2,45
421,24268434708,18,18,49
422,38089052472,18,18,49
423,38067842706,25,2299,23017
424,37412743564,25,2299,23017
425,38121994271,24,2314,23059
426,38067819606,24,2314,23059
427,37412716714,24,2314,23059
428,38067805646,24,2314,23059
429,24269960688,24,2316,23032
430,26345688169,24,2316,23032
431,37412688884,24,2316,23032
432,24269948328,7,2404,23261
433,26345660579,24,2316,23032
434,38121935991,24,2316,23032
435,26345641179,25,2291,23047
436,38090423302,25,2350,23068
437,24269907248,16,2188,21697
438,38090413022,16,2188,21697
439,38090408492,15,2156,22359
440,38121904351,15,2164,22404
441,26345588329,15,2164,22404
442,26345581499,15,2164,22404
443,38121882601,15,2164,22404
444,26345561799,24,2316,23032
445,24269845148,25,2299,23017
446,38121853831,25,2358,23096
447,26345524089,25,2350,23068
448,26345494309,24,2301,23026
449,26345489649,24,2301,23026
450,24270935568,14,308,3664
451,38091498592,7,502,4751
452,38123002181,10,473,3895
453,38091483842,10,473,3895
454,37413873784,11,498,4550
455,26346548449,4,200,6968
456,24270897768,4,200,6968
457,38122597201,1,194,7014
458,38091020152,2,216,12429
459,24270894878,5,233,13381
460,26346520919,5,1518,17724
461,26346512229,5,1518,17724
462,38122950391,2,950,16913
463,38122940001,56,7526,21255
464,38068674536,56,7526,21255
465,24270818188,56,7526,21255
466,38091398072,76,7573,21073
467,38122899311,14,6225,21657
468,38122886651,11,4426,21146
469,38091362622,7,4395,21015
470,37413733624,7,4395,21015
471,38091346412,147,7937,21507
472,38091333922,7,4185,21499
473,26346398519,7,4185,21499
474,26346392509,104,3122,21805
475,24270713928,104,3122,21805
476,38068626246,81,1523,20333
477,26346368369,14,2293,22013
478,37413648094,45,1719,20866
479,37413643544,104,3122,21805
480,38068530976,31,7255,21183
481,38068522016,119,4278,20312
482,38068511436,136,4313,20159
483,38091205642,136,4313,20159
484,38091190532,45,3519,20006
485,26346292769,229,2519,19732
486,38091163462,4,1315,18866
487,26346282869,4,1315,18866
488,26346274519,3,1041,19200
489,37413533644,3,1041,19200
490,38068463746,42,2224,18291
491,37413527834,16,1404,24324
492,24270582518,9,683,20872
493,24270577918,9,683,20872
494,38122631641,9,683,20872
495,38068418246,18,1940,18570
496,38068409186,32,840,17593
497,24270536758,35,886,17473
498,38122604331,4,1610,24452
499,24270501398,32,1520,26003
500,38091654422,1,1,1
501,26347414399,3,10,53
502,38092397952,5,187,5819
503,26347406639,3,10,53
504,26347435529,5,187,5819
505,38092394762,5,187,5819
506,26347427889,5,187,5819
507,26347512339,2,2,5
508,38071604796,67,11548,30307
509,24273998098,508,11949,30287
510,24274016308,249,11354,30386
511,38100243742,17,21,23
512,38100243692,17,21,23
513,38100243502,17,21,23
514,38131496751,17,21,23
515,38100243382,17,21,23
516,38131496361,17,21,23
517,38100243222,17,21,23
518,38131495861,17,21,23
519,38100243112,17,21,23
520,38100243062,17,21,23
521,38100242962,17,21,23
522,38100242852,17,21,23
523,38100242742,17,21,23
524,38131494571,17,21,23
525,38100244752,17,21,23
526,38100242582,17,21,23
527,38131494141,17,21,23
528,38131493511,3,21,23
529,24279589588,1,21,23
530,38131492721,1,14,129
531,38077259076,3,17,129
532,24279589198,2,16,129
533,38131491671,4,16,129
534,37422554624,3,15,129
535,38131491201,3,15,129
536,37422554344,3,14,129
537,38131489831,3,14,129
538,37422553424,3,14,129
539,37422553324,2,18,117
540,38131489451,1,12,92
541,38131489201,2,13,110
542,38131489111,2,13,110
543,37422552824,1,13,110
544,38131488931,2,12,110
545,38131488541,1,22,111
546,37422552584,2,12,110
547,37422552344,1,22,113
548,38131488191,2,18,125
549,37422551994,2,18,125
550,38131486911,1,18,128
551,26355492719,2,15,132
552,38131486281,2,15,132
553,38131485691,1,18,125
554,38131485081,3,24,122
555,38100235462,3,31,125
556,37422549004,3,31,125
557,38100235342,1,21,122
558,38100235042,1,24,118
559,24279582698,3,6,81
560,38100234642,3,6,81
561,38100234402,3,6,81
562,38100234162,1,9,81
563,38100233992,2,10,83
564,26355487239,1,9,83
565,38100233582,1,9,86
566,26355486429,1,9,89
567,38100232932,2,10,83
568,24279580778,2,14,112
569,38100232702,1,14,113
570,38100232502,2,14,112
571,38100232432,1,15,105
572,26355484129,1,23,113
573,26355483699,1,17,105
574,38100232132,1,20,105
575,26355482949,1,17,103
576,26355482339,2,10,102
577,26355481909,2,10,102
578,24279578508,1,19,107
579,24279578358,6,26,126
580,24279578098,6,26,126
581,24279577928,6,26,126
582,24279577608,6,26,126
583,26355478219,6,26,126
584,38131498991,3,29,118
585,24279577418,6,26,126
586,26355477349,5,25,107
587,26355476719,5,25,107
588,38077237326,5,25,107
589,26355475269,6,28,119
590,26355474449,6,28,119
591,38100243932,2,38,126
592,26355473909,2,44,125
593,38100227842,2,44,125
594,37422536784,2,38,126
