,photo_id,density_10m,density_100m,density_500m
0,49690547118,4,4,23
1,49690546878,4,4,23
2,49691390862,4,4,23
3,49690546433,2,19,38
4,49691079996,2,19,38
5,49690546178,5,16,38
6,49691390242,7,16,38
7,49690545893,7,16,38
8,49691381937,7,16,38
9,49691079311,7,16,38
10,49690545533,7,16,38
11,49691079086,7,16,38
12,49690545323,7,16,38
13,49691389017,2,2,22
14,49691388712,8,8,10
15,49690544433,2,2,22
16,49690544138,8,8,10
17,49691387887,8,8,10
18,49691077366,8,8,10
19,49691387352,8,8,10
20,49690543133,8,8,10
21,49691076721,8,8,10
22,49690542483,8,8,10
23,49690542333,3,7,38
24,49690541988,5,16,38
25,49690541913,1,2,34
26,49691385712,5,16,38
27,49691075046,1,2,34
28,49691384942,11,12,36
29,49691074321,11,12,36
30,49690540503,11,12,36
31,49691073636,11,12,36
32,49691383792,11,12,36
33,49691073116,11,12,36
34,49691072966,11,12,36
35,49691072866,11,12,36
36,49691072556,11,12,36
37,49691072061,1,12,36
38,49691382137,5,16,38
39,49430972632,98,819,18912
40,49430274068,98,819,18912
41,49430286053,98,819,18912
42,49430766906,98,819,18912
43,49430293113,98,819,18912
44,49430996992,98,819,18912
45,49430853486,5,45,4073
46,49431450918,5,45,4073
47,49432222987,130,582,7610
48,49431976958,5,45,4073
49,49432461211,5,45,4073
50,49432013988,11,47,4903
51,49432020738,11,47,4903
52,49432532411,13,138,6022
53,49432516621,11,47,4903
54,49432047178,11,47,4903
55,49432757792,11,47,4903
56,49432542856,11,47,4903
57,49432085688,11,47,4903
58,49432564906,11,47,4903
59,49432567946,11,47,4903
60,49432798577,11,47,4903
61,49432582861,11,47,4903
62,49433930913,1,4,5
63,49694393617,16,18,21
64,49694393537,16,18,21
65,49693547348,1,18,21
66,49694393402,16,18,21
67,49693547228,16,18,21
68,49694393292,1,3,21
69,49693547068,16,18,21
70,49693547028,16,18,21
71,49693546843,16,18,21
72,49693546528,16,18,21
73,49694089921,1,18,21
74,49693545673,16,18,21
75,49694089211,16,18,21
76,49693545328,16,18,21
77,49694088611,16,18,21
78,49693544683,16,18,21
79,49693544523,16,18,21
80,49694390387,16,18,21
81,49434406828,68,68,69
82,49434880831,68,68,69
83,49434880771,68,68,69
84,49434406633,68,68,69
85,49435102017,68,68,69
86,49434406123,68,68,69
87,49434880636,68,68,69
88,49434880551,68,68,69
89,49434880461,68,68,69
90,49435101787,68,68,69
91,49434880356,68,68,69
92,49435101637,68,68,69
93,49435101512,68,68,69
94,49435183237,16,1588,20734
