,photo_id,density_10m,density_100m,density_500m
0,5136823,26,6236,21943
1,5136825,73,1636,31295
2,5136828,4,448,16360
3,5136822,73,1636,31295
4,5136826,73,1636,31295
5,5136824,76,1628,31320
6,5136973,328,5086,25029
7,5136961,328,5086,25029
8,5136966,328,5086,25029
9,5137184,26,6236,21943
10,5137185,26,6236,21943
11,5137192,26,6236,21943
12,5137193,26,6236,21943
13,5137186,2,541,38235
14,5138129,151,10111,32481
15,5899274,1,41,1353
16,5900030,6,103,1644
17,5903456,2,74,608
18,5908566,2,11,356
19,7386601,124,3907,24864
20,7386603,124,3907,24864
21,7386602,124,3907,24864
22,7397385,21,6358,21225
23,7402707,1,134,7340
24,7564523,16,318,6204
25,7564750,2,170,3355
26,8482747,1,1,1
27,8490870,1,48,86
28,8638183,4,651,25220
29,8638185,105,1623,31236
30,8876668,80,7268,21637
31,8876669,80,7268,21637
32,9062154,1,1,31
33,9399253,28,715,21297
34,10153877,50,1773,25268
35,10153879,1307,11763,31238
36,10153878,606,5001,24553
37,10386631,4,701,21013
38,10386758,9,960,29361
39,10386901,5,855,8885
40,10387087,5,910,10081
41,10387271,1,169,9823
42,10387401,1,317,4430
43,10387756,1,692,25089
44,10387906,2,1213,25402
45,10388046,1,201,2710
46,10388227,1,1,30
47,10388441,1,8,111
48,10388627,2,158,12068
49,10388834,163,2520,19633
50,10388976,2,519,23536
51,10389137,1,374,5476
52,10389309,14,1143,10354
53,10389440,50,637,33507
54,10389557,4,199,16537
55,10389704,2,121,8139
56,10389864,14,461,3826
57,10390024,1,92,210
58,10391808,11,365,8300
59,10720226,142,12202,31070
60,11055178,156,8059,21664
61,11085821,105,1536,10935
62,11388886,105,4814,24691
63,11389136,1,1,1
64,11389642,1,3,403
65,11400735,2,7,2460
66,1194534177,1,556,1016
67,11736747,1802,2430,10014
68,11773092,1802,2430,10014
69,12003710,31,557,18963
70,12014288,19,785,35646
71,12014289,20,786,35606
72,12020560,38,1079,4342
73,12020564,54,1463,10972
74,12020559,623,5002,24558
75,12020562,2,138,1816
76,12020561,2,142,1825
77,12020563,197,1778,10623
78,12397440,3,628,28461
79,12545917,29,1655,10848
80,13767346,89,10350,30474
81,13767378,2,2,2
82,13767399,2,2,2
83,13767419,6,8,642
84,13767438,1,1,3
85,13767454,6,8,642
86,13767481,6,8,642
87,13767509,6,8,642
88,13767529,1,1,1
89,13767553,54,812,22662
90,13767563,1,1,17
91,13767580,3,508,852
92,13767600,54,812,22662
93,13767614,15,458,24364
94,13767628,4,591,23054
95,13767643,28,2126,18523
96,13767650,6,8,642
97,13767661,6,8,642
98,13955706,1,57,16562
99,13958982,96,6782,21683
100,13959006,680,7864,21462
101,13959180,9,7252,21931
102,13959610,96,6782,21683
103,14362853,142,12202,31070
104,14362852,1,399,20495
105,14362854,1,124,2792
106,14541606,533,7925,21568
107,14565488,197,7553,20955
108,14887392,1,24,1664
109,14887390,2,423,23642
110,14887391,1053,11865,31345
111,14900308,1,1012,22867
112,15339190,1,381,10541
113,15546921,7,42,695
114,15971274,3,123,7124
115,16356414,101,198,1143
116,16356416,101,198,1143
117,16356418,101,198,1143
118,16356423,101,198,1143
119,16356420,101,198,1143
120,16356425,101,198,1143
